(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0021254807>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.011464454>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.009833598>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0013532888>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0012046741>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0013308581>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0016212042>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.010324975>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005425726>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0014967795>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0023875185>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.000883617>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0007790126>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.002232993>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0020967345>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0011064211>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.000942497>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0008776729>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005075087>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0013684465>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0075632306>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.020399604>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0006152573>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00034469384>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0017917594>)
